method,path,ignore
POST,/domoweb/kpis/getcustomkpihtml/domo/salesforce_teamperformance_infographic,
POST,/domoweb/kpis/getcustomkpihtml/domo/salesforce_topperformers_infographic,
POST,/domoweb/kpis/getcustomkpihtml/domo/salesforce_won_deals_infographic,
POST,/domoweb/kpis/getcustomkpihtml/domo/services_customer_health,
POST,/domoweb/kpis/getcustomkpihtml/domo/social_experiment_badges,
POST,/domoweb/kpis/getkpihtml/{id}/{id}/{id}/{id},
POST,/domoweb/kpis/getkpis,
POST,/domoweb/kpis/reorderkpis,
POST,/domoweb/kpis/sendEmail,
POST,/domoweb/kpis/tableViewData,
POST,/domoweb/kpivisualization/createpreviewvisualization,
POST,/domoweb/kpivisualization/updatepreviewvisualization,
POST,/domoweb/page/{id}/pagecontrols,
POST,/domoweb/presentations,
POST,/domoweb/pusher/auth,
POST,/domoweb/share,
POST,/domoweb/userprofile/[object Object]/savePageSettingsKpiSize,
POST,/domoweb/userprofile/saveprofileandpreferences,
POST,/domoweb/userprofile/updatenavpage,
POST,/domoweb/users/preferences/{id},
POST,/domoweb/validateFormulas,
PUT,/domoweb/contentdatasource/{id},
PUT,/domoweb/datasource/cachettl,
PUT,/domoweb/excelPlugin/datasources/{id}/data/append,
PUT,/domoweb/kpis/{id}/drillPath/{id}/drillView/{id},
PUT,/domoweb/page/{id}/pagecontrols/{id},
